state,session,chamber,bill_id,type,name,leg_id
al,2011rs,lower,HB 1,primary,McCampbell,ALL000099
al,2011rs,lower,HB 10,primary,England,ALL000062
al,2011rs,lower,HB 100,primary,Rich,ALL000119
al,2011rs,lower,HB 100,cosponsor,McClendon,ALL000101
al,2011rs,lower,HB 100,cosponsor,Johnson (W),ALL000088
al,2011rs,lower,HB 100,cosponsor,Greeson,ALL000072
al,2011rs,lower,HB 101,primary,Beckman,ALL000041
al,2011rs,lower,HB 101,cosponsor,Oden,ALL000115
al,2011rs,lower,HB 101,cosponsor,Greeson,ALL000072
al,2011rs,lower,HB 101,cosponsor,Thomas,ALL000128
al,2011rs,lower,HB 101,cosponsor,Davis,ALL000059
al,2011rs,lower,HB 102,primary,McClendon,ALL000101
al,2011rs,lower,HB 102,cosponsor,McMillan,ALL000104
al,2011rs,lower,HB 102,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 102,cosponsor,Clouse,ALL000055
al,2011rs,lower,HB 102,cosponsor,Galliher,ALL000068
al,2011rs,lower,HB 102,cosponsor,Johnson (W),ALL000088
al,2011rs,lower,HB 102,cosponsor,Sanderford,ALL000124
al,2011rs,lower,HB 102,cosponsor,Williams (J),ALL000137
al,2011rs,lower,HB 102,cosponsor,Fincher,ALL000065
al,2011rs,lower,HB 102,cosponsor,Hubbard (J),ALL000081
al,2011rs,lower,HB 102,cosponsor,Williams (P),
al,2011rs,lower,HB 102,cosponsor,Mask,ALL000097
al,2011rs,lower,HB 102,cosponsor,Weaver,ALL000135
al,2011rs,lower,HB 102,cosponsor,Nordgren,ALL000114
al,2011rs,lower,HB 102,cosponsor,Rich,ALL000119
al,2011rs,lower,HB 102,cosponsor,Canfield,
al,2011rs,lower,HB 102,cosponsor,Ball,ALL000037
al,2011rs,lower,HB 102,cosponsor,Bridges,ALL000048
al,2011rs,lower,HB 102,cosponsor,Wood,ALL000139
al,2011rs,lower,HB 102,cosponsor,Long,ALL000095
al,2011rs,lower,HB 102,cosponsor,Davis,ALL000059
al,2011rs,lower,HB 102,cosponsor,Boothe,ALL000045
al,2011rs,lower,HB 102,cosponsor,McClurkin,ALL000102
al,2011rs,lower,HB 102,cosponsor,Love,ALL000096
al,2011rs,lower,HB 102,cosponsor,Barton,ALL000039
al,2011rs,lower,HB 102,cosponsor,Buttram,ALL000052
al,2011rs,lower,HB 102,cosponsor,Henry,ALL000077
al,2011rs,lower,HB 102,cosponsor,Boman,ALL000044
al,2011rs,lower,HB 102,cosponsor,Johnson (K),ALL000086
al,2011rs,lower,HB 103,primary,McClendon,ALL000101
al,2011rs,lower,HB 103,cosponsor,Boman,ALL000044
al,2011rs,lower,HB 103,cosponsor,Long,ALL000095
al,2011rs,lower,HB 103,cosponsor,Johnson (K),ALL000086
al,2011rs,lower,HB 103,cosponsor,Ball,ALL000037
al,2011rs,lower,HB 103,cosponsor,Henry,ALL000077
al,2011rs,lower,HB 103,cosponsor,Rich,ALL000119
al,2011rs,lower,HB 103,cosponsor,Sanderford,ALL000124
al,2011rs,lower,HB 103,cosponsor,Wood,ALL000139
al,2011rs,lower,HB 103,cosponsor,Johnson (W),ALL000088
al,2011rs,lower,HB 104,primary,McClendon,ALL000101
al,2011rs,lower,HB 104,cosponsor,Davis,ALL000059
al,2011rs,lower,HB 104,cosponsor,Love,ALL000096
al,2011rs,lower,HB 104,cosponsor,Clouse,ALL000055
al,2011rs,lower,HB 104,cosponsor,Johnson (W),ALL000088
al,2011rs,lower,HB 104,cosponsor,Nordgren,ALL000114
al,2011rs,lower,HB 104,cosponsor,McClurkin,ALL000102
al,2011rs,lower,HB 104,cosponsor,Fincher,ALL000065
al,2011rs,lower,HB 104,cosponsor,Buttram,ALL000052
al,2011rs,lower,HB 104,cosponsor,Williams (P),
al,2011rs,lower,HB 104,cosponsor,Sanderford,ALL000124
al,2011rs,lower,HB 104,cosponsor,Williams (J),ALL000137
al,2011rs,lower,HB 104,cosponsor,Henry,ALL000077
al,2011rs,lower,HB 104,cosponsor,Ball,ALL000037
al,2011rs,lower,HB 104,cosponsor,Bridges,ALL000048
al,2011rs,lower,HB 104,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 104,cosponsor,Weaver,ALL000135
al,2011rs,lower,HB 104,cosponsor,Mask,ALL000097
al,2011rs,lower,HB 104,cosponsor,Barton,ALL000039
al,2011rs,lower,HB 104,cosponsor,Rich,ALL000119
al,2011rs,lower,HB 104,cosponsor,Boman,ALL000044
al,2011rs,lower,HB 104,cosponsor,Wood,ALL000139
al,2011rs,lower,HB 104,cosponsor,Johnson (K),ALL000086
al,2011rs,lower,HB 104,cosponsor,Canfield,
al,2011rs,lower,HB 104,cosponsor,Galliher,ALL000068
al,2011rs,lower,HB 105,primary,McClendon,ALL000101
al,2011rs,lower,HB 105,cosponsor,Davis,ALL000059
al,2011rs,lower,HB 105,cosponsor,Bridges,ALL000048
al,2011rs,lower,HB 105,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 105,cosponsor,Rich,ALL000119
al,2011rs,lower,HB 105,cosponsor,Wood,ALL000139
al,2011rs,lower,HB 105,cosponsor,Ball,ALL000037
al,2011rs,lower,HB 105,cosponsor,Morrow,ALL000111
al,2011rs,lower,HB 105,cosponsor,Johnson (K),ALL000086
al,2011rs,lower,HB 105,cosponsor,Buttram,ALL000052
al,2011rs,lower,HB 105,cosponsor,Hubbard (J),ALL000081
al,2011rs,lower,HB 105,cosponsor,Nordgren,ALL000114
al,2011rs,lower,HB 105,cosponsor,Williams (D),ALL000136
al,2011rs,lower,HB 105,cosponsor,Love,ALL000096
al,2011rs,lower,HB 105,cosponsor,Barton,ALL000039
al,2011rs,lower,HB 105,cosponsor,Sanderford,ALL000124
al,2011rs,lower,HB 105,cosponsor,Johnson (W),ALL000088
al,2011rs,lower,HB 105,cosponsor,Williams (J),ALL000137
al,2011rs,lower,HB 105,cosponsor,Mask,ALL000097
al,2011rs,lower,HB 105,cosponsor,Black,ALL000043
al,2011rs,lower,HB 105,cosponsor,Canfield,
al,2011rs,lower,HB 105,cosponsor,Clouse,ALL000055
al,2011rs,lower,HB 105,cosponsor,Henry,ALL000077
al,2011rs,lower,HB 105,cosponsor,Weaver,ALL000135
al,2011rs,lower,HB 105,cosponsor,Boman,ALL000044
al,2011rs,lower,HB 105,cosponsor,Brown,ALL000049
al,2011rs,lower,HB 105,cosponsor,Hill,ALL000078
al,2011rs,lower,HB 105,cosponsor,Fincher,ALL000065
al,2011rs,lower,HB 106,primary,Clouse,ALL000055
al,2011rs,lower,HB 107,primary,Johnson (R),ALL000087
al,2011rs,lower,HB 108,primary,Johnson (R),ALL000087
al,2011rs,lower,HB 109,primary,Johnson (R),ALL000087
al,2011rs,lower,HB 11,primary,Scott,ALL000125
al,2011rs,lower,HB 110,primary,Johnson (R),ALL000087
al,2011rs,lower,HB 111,primary,Johnson (R),ALL000087
al,2011rs,lower,HB 112,primary,Johnson (R),ALL000087
al,2011rs,lower,HB 113,primary,Hill,ALL000078
al,2011rs,lower,HB 113,cosponsor,Robinson (O),ALL000122
al,2011rs,lower,HB 114,primary,Canfield,
al,2011rs,lower,HB 114,cosponsor,Robinson (O),ALL000122
al,2011rs,lower,HB 115,primary,Ison,ALL000084
al,2011rs,lower,HB 115,cosponsor,Fincher,ALL000065
al,2011rs,lower,HB 116,primary,McClammy,ALL000100
al,2011rs,lower,HB 117,primary,McClammy,ALL000100
al,2011rs,lower,HB 118,primary,Sanderford,ALL000124
al,2011rs,lower,HB 119,primary,Rich,ALL000119
al,2011rs,lower,HB 119,cosponsor,Shiver,ALL000127
al,2011rs,lower,HB 119,cosponsor,Roberts,ALL000120
al,2011rs,lower,HB 119,cosponsor,Lee,ALL000093
al,2011rs,lower,HB 119,cosponsor,Johnson (W),ALL000088
al,2011rs,lower,HB 119,cosponsor,Greer,ALL000071
al,2011rs,lower,HB 119,cosponsor,Collins,ALL000057
al,2011rs,lower,HB 119,cosponsor,Williams (D),ALL000136
al,2011rs,lower,HB 12,primary,Williams (J),ALL000137
al,2011rs,lower,HB 120,primary,Rich,ALL000119
al,2011rs,lower,HB 120,cosponsor,Collins,ALL000057
al,2011rs,lower,HB 120,cosponsor,Roberts,ALL000120
al,2011rs,lower,HB 120,cosponsor,Greer,ALL000071
al,2011rs,lower,HB 120,cosponsor,Williams (D),ALL000136
al,2011rs,lower,HB 120,cosponsor,Lee,ALL000093
al,2011rs,lower,HB 120,cosponsor,Shiver,ALL000127
al,2011rs,lower,HB 121,primary,Rich,ALL000119
al,2011rs,lower,HB 121,cosponsor,Lee,ALL000093
al,2011rs,lower,HB 121,cosponsor,Greer,ALL000071
al,2011rs,lower,HB 121,cosponsor,Roberts,ALL000120
al,2011rs,lower,HB 121,cosponsor,Williams (D),ALL000136
al,2011rs,lower,HB 121,cosponsor,Shiver,ALL000127
al,2011rs,lower,HB 122,primary,Barton,ALL000039
al,2011rs,lower,HB 123,primary,Love,ALL000096
al,2011rs,lower,HB 124,primary,Merrill,ALL000106
al,2011rs,lower,HB 125,primary,Merrill,ALL000106
al,2011rs,lower,HB 126,primary,Davis,ALL000059
al,2011rs,lower,HB 126,cosponsor,Hubbard (M),ALL000082
al,2011rs,lower,HB 126,cosponsor,Greer,ALL000071
al,2011rs,lower,HB 126,cosponsor,Mask,ALL000097
al,2011rs,lower,HB 126,cosponsor,Collins,ALL000057
al,2011rs,lower,HB 126,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 126,cosponsor,Barton,ALL000039
al,2011rs,lower,HB 126,cosponsor,Faust,ALL000064
al,2011rs,lower,HB 126,cosponsor,Canfield,
al,2011rs,lower,HB 126,cosponsor,Brown,ALL000049
al,2011rs,lower,HB 126,cosponsor,Shiver,ALL000127
al,2011rs,lower,HB 126,cosponsor,McClendon,ALL000101
al,2011rs,lower,HB 126,cosponsor,Merrill,ALL000106
al,2011rs,lower,HB 126,cosponsor,Wren,ALL000140
al,2011rs,lower,HB 126,cosponsor,Nordgren,ALL000114
al,2011rs,lower,HB 126,cosponsor,Moore (B),ALL000109
al,2011rs,lower,HB 126,cosponsor,Wallace,ALL000133
al,2011rs,lower,HB 126,cosponsor,Robinson (J),ALL000121
al,2011rs,lower,HB 126,cosponsor,Buttram,ALL000052
al,2011rs,lower,HB 126,cosponsor,Beckman,ALL000041
al,2011rs,lower,HB 126,cosponsor,Baker,ALL000036
al,2011rs,lower,HB 126,cosponsor,Johnson (R),ALL000087
al,2011rs,lower,HB 126,cosponsor,Sanderford,ALL000124
al,2011rs,lower,HB 126,cosponsor,Ison,ALL000084
al,2011rs,lower,HB 126,cosponsor,Johnson (W),ALL000088
al,2011rs,lower,HB 126,cosponsor,Coleman,ALL000009
al,2011rs,lower,HB 126,cosponsor,Millican,ALL000107
al,2011rs,lower,HB 126,cosponsor,Jackson,ALL000085
al,2011rs,lower,HB 126,cosponsor,Warren,ALL000134
al,2011rs,lower,HB 127,primary,Roberts,ALL000120
al,2011rs,lower,HB 127,cosponsor,Farley,ALL000063
al,2011rs,lower,HB 127,cosponsor,McClendon,ALL000101
al,2011rs,lower,HB 127,cosponsor,Robinson (O),ALL000122
al,2011rs,lower,HB 127,cosponsor,Williams (D),ALL000136
al,2011rs,lower,HB 127,cosponsor,Robinson (J),ALL000121
al,2011rs,lower,HB 127,cosponsor,Weaver,ALL000135
al,2011rs,lower,HB 127,cosponsor,Thomas,ALL000128
al,2011rs,lower,HB 127,cosponsor,Treadaway,ALL000130
al,2011rs,lower,HB 127,cosponsor,Tuggle,ALL000131
al,2011rs,lower,HB 127,cosponsor,Newton (D),ALL000113
al,2011rs,lower,HB 127,cosponsor,Collins,ALL000057
al,2011rs,lower,HB 127,cosponsor,Nordgren,ALL000114
al,2011rs,lower,HB 127,cosponsor,Jones,ALL000089
al,2011rs,lower,HB 127,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 127,cosponsor,Hammon,ALL000075
al,2011rs,lower,HB 127,cosponsor,Merrill,ALL000106
al,2011rs,lower,HB 127,cosponsor,Greer,ALL000071
al,2011rs,lower,HB 127,cosponsor,Henry,ALL000077
al,2011rs,lower,HB 127,cosponsor,Johnson (W),ALL000088
al,2011rs,lower,HB 127,cosponsor,Wallace,ALL000133
al,2011rs,lower,HB 127,cosponsor,Long,ALL000095
al,2011rs,lower,HB 127,cosponsor,McAdory,ALL000098
al,2011rs,lower,HB 127,cosponsor,Rich,ALL000119
al,2011rs,lower,HB 127,cosponsor,Baughn,ALL000040
al,2011rs,lower,HB 127,cosponsor,Rogers,ALL000123
al,2011rs,lower,HB 127,cosponsor,Buttram,ALL000052
al,2011rs,lower,HB 127,cosponsor,Grimsley,ALL000073
al,2011rs,lower,HB 127,cosponsor,Beckman,ALL000041
al,2011rs,lower,HB 127,cosponsor,Hubbard (J),ALL000081
al,2011rs,lower,HB 127,cosponsor,McMillan,ALL000104
al,2011rs,lower,HB 127,cosponsor,Mitchell,ALL000108
al,2011rs,lower,HB 128,primary,England,ALL000062
al,2011rs,lower,HB 129,primary,England,ALL000062
al,2011rs,lower,HB 13,primary,Williams (J),ALL000137
al,2011rs,lower,HB 130,primary,Black,ALL000043
al,2011rs,lower,HB 131,primary,Vance,ALL000132
al,2011rs,lower,HB 132,primary,Canfield,
al,2011rs,lower,HB 133,primary,Oden,ALL000115
al,2011rs,lower,HB 133,cosponsor,Thomas,ALL000128
al,2011rs,lower,HB 134,primary,Scott,ALL000125
al,2011rs,lower,HB 135,primary,Shiver,ALL000127
al,2011rs,lower,HB 136,primary,Ball,ALL000037
al,2011rs,lower,HB 137,primary,McClurkin,ALL000102
al,2011rs,lower,HB 137,cosponsor,McClendon,ALL000101
al,2011rs,lower,HB 138,primary,McClurkin,ALL000102
al,2011rs,lower,HB 138,cosponsor,Ison,ALL000084
al,2011rs,lower,HB 138,cosponsor,Love,ALL000096
al,2011rs,lower,HB 139,primary,Payne,ALL000117
al,2011rs,lower,HB 14,primary,Black,ALL000043
al,2011rs,lower,HB 140,primary,Nordgren,ALL000114
al,2011rs,lower,HB 141,primary,Boothe,ALL000045
al,2011rs,lower,HB 142,primary,Drake,ALL000061
al,2011rs,lower,HB 142,cosponsor,Canfield,
al,2011rs,lower,HB 142,cosponsor,DeMarco,ALL000060
al,2011rs,lower,HB 142,cosponsor,Farley,ALL000063
al,2011rs,lower,HB 142,cosponsor,Hill,ALL000078
al,2011rs,lower,HB 142,cosponsor,Treadaway,ALL000130
al,2011rs,lower,HB 143,primary,Baker,ALL000036
al,2011rs,lower,HB 143,cosponsor,Davis,ALL000059
al,2011rs,lower,HB 143,cosponsor,Jackson,ALL000085
al,2011rs,lower,HB 143,cosponsor,Jones,ALL000089
al,2011rs,lower,HB 143,cosponsor,Lee,ALL000093
al,2011rs,lower,HB 143,cosponsor,Shiver,ALL000127
al,2011rs,lower,HB 143,cosponsor,Harper,ALL000076
al,2011rs,lower,HB 143,cosponsor,McMillan,ALL000104
al,2011rs,lower,HB 143,cosponsor,Beech,ALL000042
al,2011rs,lower,HB 143,cosponsor,Faust,ALL000064
al,2011rs,lower,HB 144,primary,Beckman,ALL000041
al,2011rs,lower,HB 144,cosponsor,Jones,ALL000089
al,2011rs,lower,HB 144,cosponsor,Thomas,ALL000128
al,2011rs,lower,HB 144,cosponsor,Moore (B),ALL000109
al,2011rs,lower,HB 144,cosponsor,McClendon,ALL000101
al,2011rs,lower,HB 144,cosponsor,Roberts,ALL000120
al,2011rs,lower,HB 144,cosponsor,Wallace,ALL000133
al,2011rs,lower,HB 144,cosponsor,Merrill,ALL000106
al,2011rs,lower,HB 144,cosponsor,Mitchell,ALL000108
al,2011rs,lower,HB 145,primary,Weaver,ALL000135
al,2011rs,lower,HB 146,primary,McCampbell,ALL000099
al,2011rs,lower,HB 147,primary,McMillan,ALL000104
al,2011rs,lower,HB 147,cosponsor,DeMarco,ALL000060
al,2011rs,lower,HB 147,cosponsor,Newton (D),ALL000113
al,2011rs,lower,HB 147,cosponsor,Weaver,ALL000135
al,2011rs,lower,HB 147,cosponsor,Galliher,ALL000068
al,2011rs,lower,HB 147,cosponsor,Scott,ALL000125
al,2011rs,lower,HB 147,cosponsor,Hill,ALL000078
al,2011rs,lower,HB 147,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 147,cosponsor,Treadaway,ALL000130
al,2011rs,lower,HB 147,cosponsor,Nordgren,ALL000114
al,2011rs,lower,HB 147,cosponsor,Boothe,ALL000045
al,2011rs,lower,HB 147,cosponsor,McClendon,ALL000101
al,2011rs,lower,HB 147,cosponsor,Johnson (R),ALL000087
al,2011rs,lower,HB 147,cosponsor,Wood,ALL000139
al,2011rs,lower,HB 147,cosponsor,Ison,ALL000084
al,2011rs,lower,HB 147,cosponsor,Collins,ALL000057
al,2011rs,lower,HB 147,cosponsor,Roberts,ALL000120
al,2011rs,lower,HB 147,cosponsor,Millican,ALL000107
al,2011rs,lower,HB 147,cosponsor,Mask,ALL000097
al,2011rs,lower,HB 147,cosponsor,Thomas,ALL000128
al,2011rs,lower,HB 147,cosponsor,Clouse,ALL000055
al,2011rs,lower,HB 147,cosponsor,Hubbard (M),ALL000082
al,2011rs,lower,HB 147,cosponsor,McClurkin,ALL000102
al,2011rs,lower,HB 147,cosponsor,Ford,ALL000066
al,2011rs,lower,HB 147,cosponsor,Greer,ALL000071
al,2011rs,lower,HB 147,cosponsor,Brown,ALL000049
al,2011rs,lower,HB 148,primary,Howard,ALL000080
al,2011rs,lower,HB 149,primary,McClurkin,ALL000102
al,2011rs,lower,HB 15,primary,Mask,ALL000097
al,2011rs,lower,HB 150,primary,Barton,ALL000039
al,2011rs,lower,HB 150,cosponsor,Ison,ALL000084
al,2011rs,lower,HB 151,primary,Hubbard (J),ALL000081
al,2011rs,lower,HB 151,cosponsor,Henry,ALL000077
al,2011rs,lower,HB 151,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 151,cosponsor,Fincher,ALL000065
al,2011rs,lower,HB 151,cosponsor,Merrill,ALL000106
al,2011rs,lower,HB 151,cosponsor,Chesteen,ALL000054
al,2011rs,lower,HB 151,cosponsor,Ball,ALL000037
al,2011rs,lower,HB 151,cosponsor,Harper,ALL000076
al,2011rs,lower,HB 151,cosponsor,Robinson (J),ALL000121
al,2011rs,lower,HB 151,cosponsor,Hill,ALL000078
al,2011rs,lower,HB 151,cosponsor,Buskey,ALL000051
al,2011rs,lower,HB 151,cosponsor,Long,ALL000095
al,2011rs,lower,HB 151,cosponsor,Burdine,ALL000050
al,2011rs,lower,HB 152,primary,Newton (C),ALL000112
al,2011rs,lower,HB 153,primary,Newton (C),ALL000112
al,2011rs,lower,HB 154,primary,Givan,ALL000070
al,2011rs,lower,HB 155,primary,Hubbard (J),ALL000081
al,2011rs,lower,HB 156,primary,Robinson (O),ALL000122
al,2011rs,lower,HB 157,primary,Rich,ALL000119
al,2011rs,lower,HB 157,cosponsor,Long,ALL000095
al,2011rs,lower,HB 157,cosponsor,Collins,ALL000057
al,2011rs,lower,HB 157,cosponsor,Nordgren,ALL000114
al,2011rs,lower,HB 157,cosponsor,Hammon,ALL000075
al,2011rs,lower,HB 157,cosponsor,Baughn,ALL000040
al,2011rs,lower,HB 157,cosponsor,Greer,ALL000071
al,2011rs,lower,HB 158,primary,Rich,ALL000119
al,2011rs,lower,HB 158,cosponsor,Hill,ALL000078
al,2011rs,lower,HB 158,cosponsor,Greer,ALL000071
al,2011rs,lower,HB 158,cosponsor,Long,ALL000095
al,2011rs,lower,HB 158,cosponsor,Hammon,ALL000075
al,2011rs,lower,HB 158,cosponsor,Nordgren,ALL000114
al,2011rs,lower,HB 158,cosponsor,Collins,ALL000057
al,2011rs,lower,HB 158,cosponsor,Galliher,ALL000068
al,2011rs,lower,HB 158,cosponsor,Roberts,ALL000120
al,2011rs,lower,HB 158,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 158,cosponsor,Baughn,ALL000040
al,2011rs,lower,HB 159,primary,DeMarco,ALL000060
al,2011rs,lower,HB 16,primary,Williams (D),ALL000136
al,2011rs,lower,HB 160,primary,Robinson (O),ALL000122
al,2011rs,lower,HB 161,primary,Morrow,ALL000111
al,2011rs,lower,HB 162,primary,McMillan,ALL000104
al,2011rs,lower,HB 163,primary,Farley,ALL000063
al,2011rs,lower,HB 164,primary,Williams (J),ALL000137
al,2011rs,lower,HB 164,cosponsor,Johnson (K),ALL000086
al,2011rs,lower,HB 164,cosponsor,Long,ALL000095
al,2011rs,lower,HB 164,cosponsor,Wallace,ALL000133
al,2011rs,lower,HB 164,cosponsor,Shiver,ALL000127
al,2011rs,lower,HB 164,cosponsor,Henry,ALL000077
al,2011rs,lower,HB 164,cosponsor,Beckman,ALL000041
al,2011rs,lower,HB 165,primary,Williams (J),ALL000137
al,2011rs,lower,HB 165,cosponsor,Wallace,ALL000133
al,2011rs,lower,HB 165,cosponsor,Long,ALL000095
al,2011rs,lower,HB 165,cosponsor,Johnson (K),ALL000086
al,2011rs,lower,HB 165,cosponsor,Shiver,ALL000127
al,2011rs,lower,HB 165,cosponsor,Henry,ALL000077
al,2011rs,lower,HB 165,cosponsor,Beckman,ALL000041
al,2011rs,lower,HB 166,primary,Williams (J),ALL000137
al,2011rs,lower,HB 166,cosponsor,Henry,ALL000077
al,2011rs,lower,HB 166,cosponsor,Shiver,ALL000127
al,2011rs,lower,HB 166,cosponsor,Wallace,ALL000133
al,2011rs,lower,HB 166,cosponsor,Beckman,ALL000041
al,2011rs,lower,HB 166,cosponsor,Johnson (K),ALL000086
al,2011rs,lower,HB 167,primary,Williams (J),ALL000137
al,2011rs,lower,HB 167,cosponsor,Shiver,ALL000127
al,2011rs,lower,HB 167,cosponsor,Henry,ALL000077
al,2011rs,lower,HB 167,cosponsor,Beckman,ALL000041
al,2011rs,lower,HB 167,cosponsor,Long,ALL000095
al,2011rs,lower,HB 167,cosponsor,Johnson (K),ALL000086
al,2011rs,lower,HB 167,cosponsor,Wallace,ALL000133
al,2011rs,lower,HB 168,primary,Black,ALL000043
al,2011rs,lower,HB 169,primary,Ball,ALL000037
al,2011rs,lower,HB 17,primary,Buskey,ALL000051
al,2011rs,lower,HB 170,primary,Bridges,ALL000048
al,2011rs,lower,HB 171,primary,Bridges,ALL000048
al,2011rs,lower,HB 172,primary,Bridges,ALL000048
al,2011rs,lower,HB 173,primary,Bridges,ALL000048
al,2011rs,lower,HB 174,primary,Wood,ALL000139
al,2011rs,lower,HB 174,cosponsor,Hurst,ALL000083
al,2011rs,lower,HB 174,cosponsor,Brown,ALL000049
al,2011rs,lower,HB 174,cosponsor,Boyd,ALL000046
al,2011rs,lower,HB 175,primary,Morrow,ALL000111
al,2011rs,lower,HB 175,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 176,primary,Johnson (R),ALL000087
al,2011rs,lower,HB 177,primary,Johnson (R),ALL000087
al,2011rs,lower,HB 178,primary,McClurkin,ALL000102
al,2011rs,lower,HB 178,cosponsor,Love,ALL000096
al,2011rs,lower,HB 179,primary,Williams (J),ALL000137
al,2011rs,lower,HB 179,cosponsor,Gaston,ALL000069
al,2011rs,lower,HB 179,cosponsor,Hill,ALL000078
al,2011rs,lower,HB 179,cosponsor,DeMarco,ALL000060
al,2011rs,lower,HB 179,cosponsor,McMillan,ALL000104
al,2011rs,lower,HB 179,cosponsor,Boman,ALL000044
al,2011rs,lower,HB 179,cosponsor,Patterson,ALL000116
al,2011rs,lower,HB 179,cosponsor,Bridges,ALL000048
al,2011rs,lower,HB 179,cosponsor,Moore (B),ALL000109
al,2011rs,lower,HB 179,cosponsor,Johnson (K),ALL000086
al,2011rs,lower,HB 179,cosponsor,Roberts,ALL000120
al,2011rs,lower,HB 179,cosponsor,Sanderford,ALL000124
al,2011rs,lower,HB 179,cosponsor,Merrill,ALL000106
al,2011rs,lower,HB 179,cosponsor,Beckman,ALL000041
al,2011rs,lower,HB 179,cosponsor,Long,ALL000095
al,2011rs,lower,HB 179,cosponsor,Baughn,ALL000040
al,2011rs,lower,HB 179,cosponsor,McClendon,ALL000101
al,2011rs,lower,HB 179,cosponsor,Clouse,ALL000055
al,2011rs,lower,HB 179,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 179,cosponsor,Canfield,
al,2011rs,lower,HB 179,cosponsor,Hubbard (M),ALL000082
al,2011rs,lower,HB 179,cosponsor,Love,ALL000096
al,2011rs,lower,HB 179,cosponsor,Hammon,ALL000075
al,2011rs,lower,HB 179,cosponsor,Jones,ALL000089
al,2011rs,lower,HB 18,primary,Rich,ALL000119
al,2011rs,lower,HB 180,primary,Williams (J),ALL000137
al,2011rs,lower,HB 181,primary,Hill,ALL000078
al,2011rs,lower,HB 181,cosponsor,Todd,ALL000129
al,2011rs,lower,HB 181,cosponsor,Patterson,ALL000116
al,2011rs,lower,HB 181,cosponsor,McCutcheon,ALL000103
al,2011rs,lower,HB 181,cosponsor,Newton (D),ALL000113
al,2011rs,lower,HB 181,cosponsor,Ball,ALL000037
al,2011rs,lower,HB 181,cosponsor,Morrow,ALL000111
al,2011rs,lower,HB 181,cosponsor,Grimsley,ALL000073
al,2011rs,lower,HB 181,cosponsor,Melton,ALL000105
al,2011rs,lower,HB 181,cosponsor,Merrill,ALL000106
al,2011rs,lower,HB 181,cosponsor,Robinson (J),ALL000121
al,2011rs,lower,HB 181,cosponsor,Oden,ALL000115
al,2011rs,lower,HB 182,primary,Baker,ALL000036
al,2011rs,lower,HB 182,cosponsor,Brown,ALL000049
al,2011rs,lower,HB 182,cosponsor,Faust,ALL000064
al,2011rs,lower,HB 182,cosponsor,Shiver,ALL000127
al,2011rs,lower,HB 182,cosponsor,Beech,ALL000042
al,2011rs,lower,HB 182,cosponsor,McMillan,ALL000104
al,2011rs,lower,HB 182,cosponsor,Colston,ALL000058
al,2011rs,lower,HB 182,cosponsor,Jackson,ALL000085
al,2011rs,lower,HB 182,cosponsor,Buskey,ALL000051
al,2011rs,lower,HB 182,cosponsor,Harper,ALL000076
al,2011rs,lower,HB 182,cosponsor,Davis,ALL000059
al,2011rs,lower,HB 182,cosponsor,Clouse,ALL000055
al,2011rs,lower,HB 182,cosponsor,Beckman,ALL000041
al,2011rs,lower,HB 182,cosponsor,Chesteen,ALL000054
al,2011rs,lower,HB 183,primary,Oden,ALL000115
al,2011rs,lower,HB 184,primary,Greeson,ALL000072
al,2011rs,lower,HB 185,primary,Wood,ALL000139
al,2011rs,lower,HB 185,cosponsor,Baughn,ALL000040
al,2011rs,lower,HB 185,cosponsor,Clouse,ALL000055
al,2011rs,lower,HB 185,cosponsor,Beckman,ALL000041
al,2011rs,lower,HB 185,cosponsor,Boman,ALL000044
al,2011rs,lower,HB 185,cosponsor,Treadaway,ALL000130
al,2011rs,lower,HB 185,cosponsor,Laird,ALL000092
al,2011rs,lower,HB 185,cosponsor,Johnson (W),ALL000088
al,2011rs,lower,HB 185,cosponsor,Rich,ALL000119
al,2011rs,lower,HB 185,cosponsor,Williams (P),
al,2011rs,lower,HB 185,cosponsor,Brown,ALL000049
al,2011rs,lower,HB 185,cosponsor,Drake,ALL000061
al,2011rs,lower,HB 185,cosponsor,McClurkin,ALL000102
al,2011rs,lower,HB 185,cosponsor,Long,ALL000095
al,2011rs,lower,HB 185,cosponsor,Faust,ALL000064
al,2011rs,lower,HB 185,cosponsor,Bridges,ALL000048
al,2011rs,lower,HB 185,cosponsor,Collins,ALL000057
al,2011rs,lower,HB 185,cosponsor,Weaver,ALL000135
al,2011rs,lower,HB 185,cosponsor,DeMarco,ALL000060
al,2011rs,lower,HB 185,cosponsor,Hurst,ALL000083
al,2011rs,lower,HB 185,cosponsor,Ball,ALL000037
al,2011rs,lower,HB 185,cosponsor,Colston,ALL000058
