vote_id,leg_id,name,vote
DEV00001050,DEL000036,Q. Johnson,yes
DEV00001050,DEL000050,Ramone,yes
DEV00001052,DEL000001,Blevins,yes
DEV00001052,DEL000008,DeLuca,yes
DEV00001052,DEL000015,McBride,yes
DEV00001052,DEL000002,Bonini,yes
DEV00001052,DEL000009,Ennis,yes
DEV00001052,DEL000016,McDowell,yes
DEV00001052,DEL000003,Booth,yes
DEV00001052,DEL000010,Hall-Long,yes
DEV00001052,DEL000017,Peterson,yes
DEV00001052,DEL000004,Bunting,yes
DEV00001052,DEL000011,Henry,yes
DEV00001052,DEL000018,Simpson,yes
DEV00001052,DEL000005,Bushweller,yes
DEV00001052,DEL000012,Katz,yes
DEV00001052,DEL000019,Sokola,yes
DEV00001052,DEL000006,Cloutier,yes
DEV00001052,DEL000013,Lawson,yes
DEV00001052,DEL000020,Sorenson,yes
DEV00001052,DEL000007,Connor,yes
DEV00001052,DEL000014,Marshall,yes
DEV00001052,DEL000021,Venables,no
DEV00001053,DEL000022,Atkins,yes
DEV00001053,DEL000037,Keeley,yes
DEV00001053,DEL000051,Schooley,yes
DEV00001053,DEL000023,Barbieri,yes
DEV00001053,DEL000038,Kenton,yes
DEV00001053,DEL000052,Schwartzkopf,yes
DEV00001053,DEL000024,Bennett,yes
DEV00001053,DEL000039,Kowalko,yes
DEV00001053,DEL000053,Scott,yes
DEV00001053,DEL000025,Blakey,yes
DEV00001053,DEL000040,Lavelle,yes
DEV00001053,DEL000054,B. Short,yes
DEV00001053,DEL000026,Bolden,yes
DEV00001053,DEL000041,Lee,yes
DEV00001053,DEL000055,D. Short,yes
DEV00001053,DEL000027,Brady,yes
DEV00001053,DEL000042,Longhurst,yes
DEV00001053,DEL000056,M. Smith,yes
DEV00001053,DEL000028,Briggs King,yes
DEV00001053,DEL000043,Manolakos,yes
DEV00001053,DEL000057,Viola,yes
DEV00001053,DEL000029,Carson,yes
DEV00001053,DEL000044,Miro,yes
DEV00001053,DEL000058,Walker,yes
DEV00001053,DEL000031,Heffernan,yes
DEV00001053,DEL000045,Mitchell,yes
DEV00001053,DEL000059,D.E. Williams,yes
DEV00001053,DEL000032,Hocker,yes
DEV00001053,DEL000046,Mulrooney,yes
DEV00001053,DEL000060,D.P. Williams,yes
DEV00001053,DEL000033,Hudson,yes
DEV00001053,DEL000047,Osienski,yes
DEV00001053,DEL000061,Willis,yes
DEV00001053,DEL000034,Jaques,yes
DEV00001053,DEL000048,Outten,yes
DEV00001053,DEL000062,Wilson,yes
