state,session,chamber,bill_id,type,name,leg_id
nv,2010Special26,lower,AB 1,primary,Committee of the Whole ,
nv,2010Special26,lower,AB 2,primary,Committee of the Whole ,
nv,2010Special26,lower,AB 3,primary,Committee of the Whole ,
nv,2010Special26,lower,AB 4,primary,Committee of the Whole ,
nv,2010Special26,lower,AB 5,primary,Committee of the Whole ,
nv,2010Special26,lower,AB 6,primary,Committee of the Whole ,
nv,2010Special26,lower,ACR 1,primary,Committee of the Whole ,
nv,2010Special26,lower,ACR 2,primary,Committee of the Whole ,
nv,2010Special26,lower,AR 1,primary,Committee of the Whole ,
nv,2010Special26,lower,AR 2,primary,Committee of the Whole ,
nv,2010Special26,lower,AR 3,primary,Committee of the Whole ,
nv,2010Special26,upper,SB 1,primary,Horsford,NVL000009
nv,2010Special26,upper,SB 1,primary,Raggio,NVL000015
nv,2010Special26,upper,SB 2,primary,Committee of the Whole ,
nv,2010Special26,upper,SB 3,primary,Committee of the Whole ,
nv,2010Special26,upper,SB 4,primary,Committee of the Whole ,
nv,2010Special26,upper,SB 5,primary,Committee of the Whole ,
nv,2010Special26,upper,SCR 1,primary,Horsford,NVL000009
nv,2010Special26,upper,SCR 1,primary,Raggio,NVL000015
nv,2010Special26,upper,SCR 1,primary,Townsend,NVL000018
nv,2010Special26,upper,SCR 1,primary,Lee,NVL000010
nv,2010Special26,upper,SCR 1,primary,Care,NVL000003
nv,2010Special26,upper,SCR 1,cosponsor,Amodei,NVL000001
nv,2010Special26,upper,SCR 1,cosponsor,Breeden,NVL000002
nv,2010Special26,upper,SCR 1,cosponsor,Carlton,NVL000004
nv,2010Special26,upper,SCR 1,cosponsor,Cegavske,NVL000005
nv,2010Special26,upper,SCR 1,cosponsor,Coffin,NVL000006
nv,2010Special26,upper,SCR 1,cosponsor,Copening,NVL000007
nv,2010Special26,upper,SCR 1,cosponsor,Mathews,NVL000011
nv,2010Special26,upper,SCR 1,cosponsor,McGinness,NVL000012
nv,2010Special26,upper,SCR 1,cosponsor,Nolan,NVL000013
nv,2010Special26,upper,SCR 1,cosponsor,Olsen,
nv,2010Special26,upper,SCR 1,cosponsor,Parks,NVL000014
nv,2010Special26,upper,SCR 1,cosponsor,Rhoads,NVL000016
nv,2010Special26,upper,SCR 1,cosponsor,Schneider,NVL000017
nv,2010Special26,upper,SCR 1,cosponsor,Washington,NVL000019
nv,2010Special26,upper,SCR 1,cosponsor,Wiener,NVL000020
nv,2010Special26,upper,SCR 1,cosponsor,Woodhouse,NVL000021
nv,2010Special26,upper,SR 1,primary,Committee of the Whole ,
nv,2010Special26,upper,SR 2,primary,Committee of the Whole ,
nv,2010Special26,upper,SR 3,primary,Committee of the Whole ,
nv,75,lower,AB 1,primary,Stewart,NVL000104
nv,75,lower,AB 10,primary,Health and Human Services ,
nv,75,lower,AB 100,primary,Education ,
nv,75,lower,AB 101,primary,Health and Human Services ,
nv,75,lower,AB 102,primary,Health and Human Services ,
nv,75,lower,AB 103,primary,Leslie,NVL000089
nv,75,lower,AB 104,primary,Parnell,NVL000098
nv,75,lower,AB 105,primary,Gansert,NVL000077
nv,75,lower,AB 106,primary,Health and Human Services ,
nv,75,lower,AB 107,primary,Oceguera,NVL000096
nv,75,lower,AB 108,primary,Commerce and Labor ,
nv,75,lower,AB 109,primary,Transportation ,
nv,75,lower,AB 11,primary,Settelmeyer,NVL000101
nv,75,lower,AB 110,primary,Transportation ,
nv,75,lower,AB 111,primary,Health and Human Services ,
nv,75,lower,AB 112,primary,Health and Human Services ,
nv,75,lower,AB 113,primary,Hogan,NVL000084
nv,75,lower,AB 114,primary,Judiciary ,
nv,75,lower,AB 115,primary,Cobb,NVL000073
nv,75,lower,AB 116,primary,Carpenter,NVL000070
nv,75,lower,AB 117,primary,CorrectionsParoleand Probation ,
nv,75,lower,AB 118,primary,Carpenter,NVL000070
nv,75,lower,AB 119,primary,Leslie,NVL000089
nv,75,lower,AB 12,primary,Gansert,NVL000077
nv,75,lower,AB 120,primary,Judiciary ,
nv,75,lower,AB 121,primary,Koivisto,NVL000088
nv,75,lower,AB 122,primary,Health and Human Services ,
nv,75,lower,AB 123,primary,Health and Human Services ,
nv,75,lower,AB 124,primary,Grady,NVL000080
nv,75,lower,AB 125,primary,Gansert,NVL000077
nv,75,lower,AB 126,primary,Grady,NVL000080
nv,75,lower,AB 127,primary,McArthur,NVL000092
nv,75,lower,AB 128,primary,Hogan,NVL000084
nv,75,lower,AB 129,primary,Conklin,NVL000074
nv,75,lower,AB 129,primary,Anderson,NVL000065
nv,75,lower,AB 129,primary,Oceguera,NVL000096
nv,75,lower,AB 129,cosponsor,Dondero,NVL000076
nv,75,lower,AB 129,cosponsor,Loop,NVL000076
nv,75,lower,AB 129,cosponsor,Grady,NVL000080
nv,75,lower,AB 129,cosponsor,Horne,NVL000085
nv,75,lower,AB 129,cosponsor,Kirkpatrick,NVL000087
nv,75,lower,AB 129,cosponsor,Mortenson,NVL000094
nv,75,lower,AB 129,cosponsor,Ohrenschall,NVL000097
nv,75,lower,AB 129,cosponsor,Parnell,NVL000098
nv,75,lower,AB 13,primary,Ways and Means ,
nv,75,lower,AB 130,primary,Conklin,NVL000074
nv,75,lower,AB 130,cosponsor,Kirkpatrick,NVL000087
nv,75,lower,AB 130,cosponsor,Oceguera,NVL000096
nv,75,lower,AB 131,primary,Commerce and Labor ,
nv,75,lower,AB 132,primary,Conklin,NVL000074
nv,75,lower,AB 132,primary,Anderson,NVL000065
nv,75,lower,AB 132,cosponsor,Kirkpatrick,NVL000087
nv,75,lower,AB 132,cosponsor,Oceguera,NVL000096
nv,75,lower,AB 133,primary,Conklin,NVL000074
nv,75,lower,AB 133,primary,DonderoLoop,NVL000076
nv,75,lower,AB 133,cosponsor,Dondero,NVL000076
nv,75,lower,AB 133,cosponsor,Loop,NVL000076
nv,75,lower,AB 133,cosponsor,Anderson,NVL000065
nv,75,lower,AB 133,cosponsor,Grady,NVL000080
nv,75,lower,AB 133,cosponsor,Mortenson,NVL000094
nv,75,lower,AB 133,cosponsor,Oceguera,NVL000096
nv,75,lower,AB 133,cosponsor,Ohrenschall,NVL000097
nv,75,lower,AB 133,cosponsor,Parnell,NVL000098
nv,75,lower,AB 134,primary,Ways and Means ,
nv,75,lower,AB 135,primary,Ways and Means ,
nv,75,lower,AB 136,primary,Parnell,NVL000098
nv,75,lower,AB 136,primary,McClain,NVL000093
nv,75,lower,AB 136,primary,Anderson,NVL000065
nv,75,lower,AB 136,primary,Smith,NVL000102
nv,75,lower,AB 136,primary,Hardy,NVL000083
nv,75,lower,AB 136,primary,Lee,NVL000010
nv,75,lower,AB 136,primary,Wiener,NVL000020
nv,75,lower,AB 136,primary,Carlton,NVL000004
nv,75,lower,AB 136,cosponsor,Denis,NVL000075
nv,75,lower,AB 136,cosponsor,Koivisto,NVL000088
nv,75,lower,AB 136,cosponsor,Mastroluca,NVL000091
nv,75,lower,AB 136,cosponsor,Amodei,NVL000001
nv,75,lower,AB 137,primary,Hardy,NVL000083
nv,75,lower,AB 138,primary,Anderson,NVL000065
nv,75,lower,AB 138,primary,Kihuen,NVL000086
nv,75,lower,AB 138,cosponsor,Buckley,NVL000069
nv,75,lower,AB 138,cosponsor,Carpenter,NVL000070
nv,75,lower,AB 138,cosponsor,Conklin,NVL000074
nv,75,lower,AB 138,cosponsor,Dondero,NVL000076
nv,75,lower,AB 138,cosponsor,Loop,NVL000076
nv,75,lower,AB 138,cosponsor,Hambrick,NVL000082
nv,75,lower,AB 138,cosponsor,Horne,NVL000085
nv,75,lower,AB 138,cosponsor,Manendo,NVL000090
nv,75,lower,AB 138,cosponsor,Mortenson,NVL000094
nv,75,lower,AB 138,cosponsor,Oceguera,NVL000096
nv,75,lower,AB 138,cosponsor,Segerblom,NVL000100
nv,75,lower,AB 139,primary,Commerce and Labor ,
nv,75,lower,AB 14,primary,Education ,
nv,75,lower,AB 140,primary,Commerce and Labor ,
nv,75,lower,AB 141,primary,Commerce and Labor ,
nv,75,lower,AB 142,primary,Hogan,NVL000084
nv,75,lower,AB 143,primary,Hogan,NVL000084
nv,75,lower,AB 143,primary,McClain,NVL000093
nv,75,lower,AB 143,primary,Koivisto,NVL000088
nv,75,lower,AB 143,cosponsor,Denis,NVL000075
nv,75,lower,AB 143,cosponsor,Pierce,NVL000099
nv,75,lower,AB 144,primary,Hogan,NVL000084
nv,75,lower,AB 144,primary,McClain,NVL000093
nv,75,lower,AB 144,primary,Koivisto,NVL000088
nv,75,lower,AB 144,cosponsor,Pierce,NVL000099
nv,75,lower,AB 145,primary,Hambrick,NVL000082
nv,75,lower,AB 145,cosponsor,Carpenter,NVL000070
nv,75,lower,AB 145,cosponsor,Cobb,NVL000073
nv,75,lower,AB 145,cosponsor,Gustavson,NVL000081
nv,75,lower,AB 145,cosponsor,Mortenson,NVL000094
nv,75,lower,AB 145,cosponsor,Ohrenschall,NVL000097
nv,75,lower,AB 145,cosponsor,Segerblom,NVL000100
nv,75,lower,AB 146,primary,Oceguera,NVL000096
nv,75,lower,AB 147,primary,Spiegel,NVL000103
nv,75,lower,AB 147,primary,Kirkpatrick,NVL000087
nv,75,lower,AB 147,primary,Smith,NVL000102
nv,75,lower,AB 147,cosponsor,Hambrick,NVL000082
nv,75,lower,AB 148,primary,Commerce and Labor ,
nv,75,lower,AB 149,primary,Buckley,NVL000069
nv,75,lower,AB 149,primary,Oceguera,NVL000096
nv,75,lower,AB 149,primary,Conklin,NVL000074
nv,75,lower,AB 149,primary,Leslie,NVL000089
nv,75,lower,AB 149,primary,Smith,NVL000102
nv,75,lower,AB 149,primary,Horsford,NVL000009
nv,75,lower,AB 149,cosponsor,Aizley,NVL000064
nv,75,lower,AB 149,cosponsor,Anderson,NVL000065
nv,75,lower,AB 149,cosponsor,Atkinson,NVL000067
nv,75,lower,AB 149,cosponsor,Bobzien,NVL000068
nv,75,lower,AB 149,cosponsor,Claborn,NVL000072
nv,75,lower,AB 149,cosponsor,Denis,NVL000075
nv,75,lower,AB 149,cosponsor,Dondero,NVL000076
nv,75,lower,AB 149,cosponsor,Loop,NVL000076
nv,75,lower,AB 149,cosponsor,Goicoechea,NVL000079
nv,75,lower,AB 149,cosponsor,Grady,NVL000080
nv,75,lower,AB 149,cosponsor,Hambrick,NVL000082
nv,75,lower,AB 149,cosponsor,Hardy,NVL000083
nv,75,lower,AB 149,cosponsor,Hogan,NVL000084
nv,75,lower,AB 149,cosponsor,Horne,NVL000085
nv,75,lower,AB 149,cosponsor,Kihuen,NVL000086
nv,75,lower,AB 149,cosponsor,Kirkpatrick,NVL000087
nv,75,lower,AB 149,cosponsor,Koivisto,NVL000088
nv,75,lower,AB 149,cosponsor,Manendo,NVL000090
nv,75,lower,AB 149,cosponsor,Mastroluca,NVL000091
nv,75,lower,AB 149,cosponsor,McClain,NVL000093
nv,75,lower,AB 149,cosponsor,Munford,NVL000095
nv,75,lower,AB 149,cosponsor,Ohrenschall,NVL000097
nv,75,lower,AB 149,cosponsor,Parnell,NVL000098
nv,75,lower,AB 149,cosponsor,Pierce,NVL000099
nv,75,lower,AB 149,cosponsor,Segerblom,NVL000100
nv,75,lower,AB 149,cosponsor,Settelmeyer,NVL000101
nv,75,lower,AB 149,cosponsor,Spiegel,NVL000103
nv,75,lower,AB 149,cosponsor,Stewart,NVL000104
nv,75,lower,AB 149,cosponsor,Coffin,NVL000006
nv,75,lower,AB 15,primary,Manendo,NVL000090
nv,75,lower,AB 150,primary,Koivisto,NVL000088
nv,75,lower,AB 150,primary,McClain,NVL000093
nv,75,lower,AB 150,primary,Conklin,NVL000074
nv,75,lower,AB 150,cosponsor,Bobzien,NVL000068
nv,75,lower,AB 150,cosponsor,Dondero,NVL000076
nv,75,lower,AB 150,cosponsor,Loop,NVL000076
nv,75,lower,AB 150,cosponsor,Kihuen,NVL000086
nv,75,lower,AB 150,cosponsor,Ohrenschall,NVL000097
nv,75,lower,AB 151,primary,Conklin,NVL000074
nv,75,lower,AB 151,primary,Buckley,NVL000069
nv,75,lower,AB 151,primary,Oceguera,NVL000096
nv,75,lower,AB 151,primary,Leslie,NVL000089
nv,75,lower,AB 151,primary,DonderoLoop,NVL000076
nv,75,lower,AB 151,primary,Carlton,NVL000004
nv,75,lower,AB 151,primary,Parks,NVL000014
nv,75,lower,AB 151,primary,Copening,NVL000007
nv,75,lower,AB 151,primary,Schneider,NVL000017
nv,75,lower,AB 151,cosponsor,Dondero,NVL000076
nv,75,lower,AB 151,cosponsor,Loop,NVL000076
nv,75,lower,AB 151,cosponsor,Aizley,NVL000064
nv,75,lower,AB 151,cosponsor,Anderson,NVL000065
nv,75,lower,AB 151,cosponsor,Claborn,NVL000072
nv,75,lower,AB 151,cosponsor,Denis,NVL000075
nv,75,lower,AB 151,cosponsor,Gansert,NVL000077
nv,75,lower,AB 151,cosponsor,Hambrick,NVL000082
nv,75,lower,AB 151,cosponsor,Hardy,NVL000083
nv,75,lower,AB 151,cosponsor,Hogan,NVL000084
nv,75,lower,AB 151,cosponsor,Horne,NVL000085
nv,75,lower,AB 151,cosponsor,Kihuen,NVL000086
nv,75,lower,AB 151,cosponsor,Kirkpatrick,NVL000087
nv,75,lower,AB 151,cosponsor,Koivisto,NVL000088
nv,75,lower,AB 151,cosponsor,Manendo,NVL000090
nv,75,lower,AB 151,cosponsor,Mastroluca,NVL000091
nv,75,lower,AB 151,cosponsor,McClain,NVL000093
nv,75,lower,AB 151,cosponsor,Mortenson,NVL000094
nv,75,lower,AB 151,cosponsor,Munford,NVL000095
nv,75,lower,AB 151,cosponsor,Pierce,NVL000099
nv,75,lower,AB 151,cosponsor,Segerblom,NVL000100
nv,75,lower,AB 151,cosponsor,Smith,NVL000102
nv,75,lower,AB 151,cosponsor,Spiegel,NVL000103
nv,75,lower,AB 151,cosponsor,Stewart,NVL000104
nv,75,lower,AB 151,cosponsor,Coffin,NVL000006
nv,75,lower,AB 151,cosponsor,Woodhouse,NVL000021
nv,75,lower,AB 152,primary,Conklin,NVL000074
nv,75,lower,AB 152,primary,Bobzien,NVL000068
nv,75,lower,AB 152,primary,Oceguera,NVL000096
nv,75,lower,AB 152,primary,Spiegel,NVL000103
nv,75,lower,AB 152,primary,McClain,NVL000093
nv,75,lower,AB 152,primary,Parks,NVL000014
nv,75,lower,AB 152,cosponsor,Aizley,NVL000064
nv,75,lower,AB 152,cosponsor,Dondero,NVL000076
nv,75,lower,AB 152,cosponsor,Loop,NVL000076
nv,75,lower,AB 152,cosponsor,Mastroluca,NVL000091
nv,75,lower,AB 153,primary,Transportation ,
nv,75,lower,AB 154,primary,Munford,NVL000095
nv,75,lower,AB 154,primary,Denis,NVL000075
nv,75,lower,AB 154,primary,Segerblom,NVL000100
nv,75,lower,AB 154,cosponsor,Bobzien,NVL000068
nv,75,lower,AB 154,cosponsor,Dondero,NVL000076
nv,75,lower,AB 154,cosponsor,Loop,NVL000076
nv,75,lower,AB 154,cosponsor,Ohrenschall,NVL000097
nv,75,lower,AB 154,cosponsor,Parnell,NVL000098
nv,75,lower,AB 154,cosponsor,Pierce,NVL000099
nv,75,lower,AB 155,primary,Munford,NVL000095
nv,75,lower,AB 155,primary,Denis,NVL000075
nv,75,lower,AB 155,primary,Segerblom,NVL000100
nv,75,lower,AB 155,cosponsor,Bobzien,NVL000068
nv,75,lower,AB 155,cosponsor,Ohrenschall,NVL000097
nv,75,lower,AB 155,cosponsor,Pierce,NVL000099
nv,75,lower,AB 156,primary,Cobb,NVL000073
nv,75,lower,AB 156,cosponsor,Gansert,NVL000077
nv,75,lower,AB 156,cosponsor,Goedhart,NVL000078
nv,75,lower,AB 156,cosponsor,Gustavson,NVL000081
nv,75,lower,AB 156,cosponsor,Hambrick,NVL000082
nv,75,lower,AB 156,cosponsor,Hardy,NVL000083
nv,75,lower,AB 156,cosponsor,Settelmeyer,NVL000101
nv,75,lower,AB 156,cosponsor,Stewart,NVL000104
nv,75,lower,AB 157,primary,Cobb,NVL000073
nv,75,lower,AB 157,cosponsor,Gansert,NVL000077
nv,75,lower,AB 157,cosponsor,Goedhart,NVL000078
nv,75,lower,AB 157,cosponsor,Grady,NVL000080
nv,75,lower,AB 157,cosponsor,Gustavson,NVL000081
nv,75,lower,AB 157,cosponsor,Hambrick,NVL000082
nv,75,lower,AB 157,cosponsor,Hardy,NVL000083
nv,75,lower,AB 157,cosponsor,McArthur,NVL000092
nv,75,lower,AB 157,cosponsor,Settelmeyer,NVL000101
nv,75,lower,AB 157,cosponsor,Stewart,NVL000104
nv,75,lower,AB 158,primary,Cobb,NVL000073
nv,75,lower,AB 158,cosponsor,Gansert,NVL000077
nv,75,lower,AB 158,cosponsor,Goedhart,NVL000078
nv,75,lower,AB 158,cosponsor,Grady,NVL000080
nv,75,lower,AB 158,cosponsor,Gustavson,NVL000081
nv,75,lower,AB 158,cosponsor,Hambrick,NVL000082
nv,75,lower,AB 158,cosponsor,Hardy,NVL000083
nv,75,lower,AB 158,cosponsor,Settelmeyer,NVL000101
nv,75,lower,AB 158,cosponsor,Stewart,NVL000104
nv,75,lower,AB 159,primary,Pierce,NVL000099
nv,75,lower,AB 159,primary,Kirkpatrick,NVL000087
nv,75,lower,AB 159,primary,Koivisto,NVL000088
nv,75,lower,AB 159,primary,Carlton,NVL000004
nv,75,lower,AB 159,primary,Parks,NVL000014
nv,75,lower,AB 159,cosponsor,Aizley,NVL000064
nv,75,lower,AB 159,cosponsor,Anderson,NVL000065
nv,75,lower,AB 159,cosponsor,Arberry,NVL000066
nv,75,lower,AB 159,cosponsor,Atkinson,NVL000067
nv,75,lower,AB 159,cosponsor,Buckley,NVL000069
nv,75,lower,AB 159,cosponsor,Carpenter,NVL000070
nv,75,lower,AB 159,cosponsor,Claborn,NVL000072
nv,75,lower,AB 159,cosponsor,Conklin,NVL000074
nv,75,lower,AB 159,cosponsor,Denis,NVL000075
nv,75,lower,AB 159,cosponsor,Goicoechea,NVL000079
nv,75,lower,AB 159,cosponsor,Grady,NVL000080
nv,75,lower,AB 159,cosponsor,Hogan,NVL000084
nv,75,lower,AB 159,cosponsor,Horne,NVL000085
nv,75,lower,AB 159,cosponsor,Kihuen,NVL000086
nv,75,lower,AB 159,cosponsor,Leslie,NVL000089
nv,75,lower,AB 159,cosponsor,Manendo,NVL000090
nv,75,lower,AB 159,cosponsor,Mastroluca,NVL000091
nv,75,lower,AB 159,cosponsor,McClain,NVL000093
nv,75,lower,AB 159,cosponsor,Mortenson,NVL000094
nv,75,lower,AB 159,cosponsor,Munford,NVL000095
nv,75,lower,AB 159,cosponsor,Oceguera,NVL000096
nv,75,lower,AB 159,cosponsor,Ohrenschall,NVL000097
nv,75,lower,AB 159,cosponsor,Parnell,NVL000098
nv,75,lower,AB 159,cosponsor,Segerblom,NVL000100
nv,75,lower,AB 159,cosponsor,Smith,NVL000102
nv,75,lower,AB 159,cosponsor,Spiegel,NVL000103
nv,75,lower,AB 159,cosponsor,Copening,NVL000007
nv,75,lower,AB 159,cosponsor,Woodhouse,NVL000021
nv,75,lower,AB 16,primary,Commerce and Labor ,
nv,75,lower,AB 160,primary,Aizley,NVL000064
nv,75,lower,AB 160,primary,Ohrenschall,NVL000097
nv,75,lower,AB 160,primary,Coffin,NVL000006
nv,75,lower,AB 160,cosponsor,Claborn,NVL000072
nv,75,lower,AB 160,cosponsor,Kihuen,NVL000086
nv,75,lower,AB 160,cosponsor,McClain,NVL000093
nv,75,lower,AB 160,cosponsor,Mortenson,NVL000094
nv,75,lower,AB 160,cosponsor,Munford,NVL000095
nv,75,lower,AB 160,cosponsor,Segerblom,NVL000100
nv,75,lower,AB 160,cosponsor,Parks,NVL000014
nv,75,lower,AB 161,primary,Mortenson,NVL000094
nv,75,lower,AB 162,primary,Ohrenschall,NVL000097
nv,75,lower,AB 162,primary,Buckley,NVL000069
nv,75,lower,AB 162,primary,Leslie,NVL000089
nv,75,lower,AB 162,primary,Woodbury,NVL000105
nv,75,lower,AB 162,primary,Conklin,NVL000074
nv,75,lower,AB 162,primary,Horsford,NVL000009
nv,75,lower,AB 162,primary,Schneider,NVL000017
nv,75,lower,AB 162,primary,Lee,NVL000010
nv,75,lower,AB 162,primary,Wiener,NVL000020
nv,75,lower,AB 162,primary,Townsend,NVL000018
nv,75,lower,AB 162,cosponsor,Aizley,NVL000064
nv,75,lower,AB 162,cosponsor,Anderson,NVL000065
nv,75,lower,AB 162,cosponsor,Arberry,NVL000066
nv,75,lower,AB 162,cosponsor,Atkinson,NVL000067
nv,75,lower,AB 162,cosponsor,Bobzien,NVL000068
nv,75,lower,AB 162,cosponsor,Carpenter,NVL000070
nv,75,lower,AB 162,cosponsor,Christensen,NVL000071
nv,75,lower,AB 162,cosponsor,Claborn,NVL000072
nv,75,lower,AB 162,cosponsor,Denis,NVL000075
nv,75,lower,AB 162,cosponsor,Dondero,NVL000076
nv,75,lower,AB 162,cosponsor,Loop,NVL000076
nv,75,lower,AB 162,cosponsor,Goicoechea,NVL000079
nv,75,lower,AB 162,cosponsor,Grady,NVL000080
nv,75,lower,AB 162,cosponsor,Hambrick,NVL000082
nv,75,lower,AB 162,cosponsor,Hardy,NVL000083
nv,75,lower,AB 162,cosponsor,Hogan,NVL000084
nv,75,lower,AB 162,cosponsor,Horne,NVL000085
nv,75,lower,AB 162,cosponsor,Kihuen,NVL000086
nv,75,lower,AB 162,cosponsor,Kirkpatrick,NVL000087
nv,75,lower,AB 162,cosponsor,Koivisto,NVL000088
nv,75,lower,AB 162,cosponsor,Manendo,NVL000090
nv,75,lower,AB 162,cosponsor,Mastroluca,NVL000091
nv,75,lower,AB 162,cosponsor,McClain,NVL000093
nv,75,lower,AB 162,cosponsor,Mortenson,NVL000094
nv,75,lower,AB 162,cosponsor,Munford,NVL000095
nv,75,lower,AB 162,cosponsor,Oceguera,NVL000096
nv,75,lower,AB 162,cosponsor,Parnell,NVL000098
nv,75,lower,AB 162,cosponsor,Pierce,NVL000099
nv,75,lower,AB 162,cosponsor,Segerblom,NVL000100
nv,75,lower,AB 162,cosponsor,Smith,NVL000102
nv,75,lower,AB 162,cosponsor,Stewart,NVL000104
nv,75,lower,AB 162,cosponsor,Amodei,NVL000001
nv,75,lower,AB 162,cosponsor,Breeden,NVL000002
nv,75,lower,AB 162,cosponsor,Care,NVL000003
nv,75,lower,AB 162,cosponsor,Carlton,NVL000004
nv,75,lower,AB 162,cosponsor,Coffin,NVL000006
nv,75,lower,AB 162,cosponsor,Copening,NVL000007
nv,75,lower,AB 162,cosponsor,Nolan,NVL000013
nv,75,lower,AB 162,cosponsor,Parks,NVL000014
nv,75,lower,AB 162,cosponsor,Rhoads,NVL000016
nv,75,lower,AB 162,cosponsor,Woodhouse,NVL000021
nv,75,lower,AB 163,primary,Ohrenschall,NVL000097
nv,75,lower,AB 163,primary,Atkinson,NVL000067
nv,75,lower,AB 163,primary,Christensen,NVL000071
nv,75,lower,AB 163,primary,Manendo,NVL000090
nv,75,lower,AB 163,primary,Parks,NVL000014
nv,75,lower,AB 163,primary,Townsend,NVL000018
nv,75,lower,AB 163,cosponsor,Aizley,NVL000064
nv,75,lower,AB 163,cosponsor,Bobzien,NVL000068
nv,75,lower,AB 163,cosponsor,Carpenter,NVL000070
nv,75,lower,AB 163,cosponsor,Claborn,NVL000072
nv,75,lower,AB 163,cosponsor,Cobb,NVL000073
nv,75,lower,AB 163,cosponsor,Dondero,NVL000076
nv,75,lower,AB 163,cosponsor,Loop,NVL000076
nv,75,lower,AB 163,cosponsor,Hambrick,NVL000082
nv,75,lower,AB 163,cosponsor,Hogan,NVL000084
nv,75,lower,AB 163,cosponsor,Kihuen,NVL000086
nv,75,lower,AB 163,cosponsor,Kirkpatrick,NVL000087
nv,75,lower,AB 163,cosponsor,Koivisto,NVL000088
nv,75,lower,AB 163,cosponsor,Leslie,NVL000089
nv,75,lower,AB 163,cosponsor,Mastroluca,NVL000091
nv,75,lower,AB 163,cosponsor,Mortenson,NVL000094
nv,75,lower,AB 163,cosponsor,Munford,NVL000095
nv,75,lower,AB 163,cosponsor,Oceguera,NVL000096
nv,75,lower,AB 163,cosponsor,Pierce,NVL000099
nv,75,lower,AB 163,cosponsor,Segerblom,NVL000100
nv,75,lower,AB 163,cosponsor,Smith,NVL000102
nv,75,lower,AB 163,cosponsor,Breeden,NVL000002
nv,75,lower,AB 163,cosponsor,Care,NVL000003
nv,75,lower,AB 163,cosponsor,Copening,NVL000007
nv,75,lower,AB 163,cosponsor,Nolan,NVL000013
nv,75,lower,AB 163,cosponsor,Washington,NVL000019
nv,75,lower,AB 163,cosponsor,Wiener,NVL000020
nv,75,lower,AB 164,primary,Horne,NVL000085
nv,75,lower,AB 164,primary,Gansert,NVL000077
nv,75,lower,AB 164,primary,Anderson,NVL000065
nv,75,lower,AB 164,primary,Manendo,NVL000090
nv,75,lower,AB 164,primary,Kihuen,NVL000086
nv,75,lower,AB 164,primary,Breeden,NVL000002
nv,75,lower,AB 164,primary,Wiener,NVL000020
nv,75,lower,AB 164,primary,Care,NVL000003
nv,75,lower,AB 164,primary,Parks,NVL000014
nv,75,lower,AB 164,primary,Copening,NVL000007
nv,75,lower,AB 164,cosponsor,Aizley,NVL000064
nv,75,lower,AB 164,cosponsor,Atkinson,NVL000067
nv,75,lower,AB 164,cosponsor,Bobzien,NVL000068
nv,75,lower,AB 164,cosponsor,Buckley,NVL000069
nv,75,lower,AB 164,cosponsor,Carpenter,NVL000070
nv,75,lower,AB 164,cosponsor,Christensen,NVL000071
nv,75,lower,AB 164,cosponsor,Claborn,NVL000072
nv,75,lower,AB 164,cosponsor,Conklin,NVL000074
nv,75,lower,AB 164,cosponsor,Denis,NVL000075
nv,75,lower,AB 164,cosponsor,Dondero,NVL000076
nv,75,lower,AB 164,cosponsor,Loop,NVL000076
nv,75,lower,AB 164,cosponsor,Hambrick,NVL000082
nv,75,lower,AB 164,cosponsor,Hardy,NVL000083
nv,75,lower,AB 164,cosponsor,Kirkpatrick,NVL000087
nv,75,lower,AB 164,cosponsor,Koivisto,NVL000088
nv,75,lower,AB 164,cosponsor,Leslie,NVL000089
nv,75,lower,AB 164,cosponsor,Mastroluca,NVL000091
nv,75,lower,AB 164,cosponsor,McArthur,NVL000092
nv,75,lower,AB 164,cosponsor,McClain,NVL000093
nv,75,lower,AB 164,cosponsor,Mortenson,NVL000094
nv,75,lower,AB 164,cosponsor,Munford,NVL000095
nv,75,lower,AB 164,cosponsor,Oceguera,NVL000096
nv,75,lower,AB 164,cosponsor,Ohrenschall,NVL000097
nv,75,lower,AB 164,cosponsor,Parnell,NVL000098
nv,75,lower,AB 164,cosponsor,Pierce,NVL000099
nv,75,lower,AB 164,cosponsor,Segerblom,NVL000100
nv,75,lower,AB 164,cosponsor,Smith,NVL000102
nv,75,lower,AB 164,cosponsor,Spiegel,NVL000103
nv,75,lower,AB 164,cosponsor,Stewart,NVL000104
nv,75,lower,AB 164,cosponsor,Horsford,NVL000009
nv,75,lower,AB 164,cosponsor,Lee,NVL000010
nv,75,lower,AB 164,cosponsor,Mathews,NVL000011
nv,75,lower,AB 164,cosponsor,McGinness,NVL000012
nv,75,lower,AB 164,cosponsor,Washington,NVL000019
nv,75,lower,AB 165,primary,Buckley,NVL000069
nv,75,lower,AB 165,primary,Parnell,NVL000098
nv,75,lower,AB 165,primary,Conklin,NVL000074
nv,75,lower,AB 165,primary,Anderson,NVL000065
nv,75,lower,AB 165,primary,Oceguera,NVL000096
nv,75,lower,AB 165,primary,Care,NVL000003
nv,75,lower,AB 165,primary,Wiener,NVL000020
nv,75,lower,AB 165,primary,Parks,NVL000014
nv,75,lower,AB 165,primary,Horsford,NVL000009
nv,75,lower,AB 165,primary,Hardy,NVL000083
nv,75,lower,AB 165,cosponsor,Aizley,NVL000064
