leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
NVL000002,member,2009-2010,"Clark County, No. 5",upper,nv,Democratic,,,,,
NVL000002,member,2011-2012,"Clark County, No. 5",upper,nv,Democratic,,,,,
NVL000002,committee member,2011-2012,,upper,nv,,NVC000020,"Commerce, Labor and Energy",,,
NVL000002,committee member,2011-2012,,upper,nv,,NVC000019,Judiciary,,,
NVL000002,committee member,2011-2012,,upper,nv,,NVC000025,Transportation,,,
NVL000001,member,2009-2010,Capital Senatorial District,upper,nv,Republican,,,,,
NVL000008,member,2009-2010,"Clark County, No. 12",upper,nv,Republican,,,,,
NVL000015,member,2009-2010,"Washoe County, No. 3",upper,nv,Republican,,,,,
NVL000015,member,2011-2012,"Washoe County, No. 3",upper,nv,Republican,,,,,2011-01-15 00:00:00
NVL000018,member,2009-2010,"Washoe County, No. 4",upper,nv,Republican,,,,,
NVL000019,member,2009-2010,"Washoe County, No. 2",upper,nv,Republican,,,,,
NVL000069,member,2009-2010,8,lower,nv,Democratic,,,,,
NVL000069,committee member,2009-2010,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000069,committee member,2009-2010,,lower,nv,,NVC000016,Ways and Means,,,
NVL000088,member,2009-2010,14,lower,nv,Democratic,,,,,
NVL000088,committee member,2009-2010,,lower,nv,,NVC000016,Ways and Means,,,
NVL000093,member,2009-2010,15,lower,nv,Democratic,,,,,
NVL000093,committee member,2009-2010,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000093,committee member,2009-2010,,lower,nv,,NVC000016,Ways and Means,,,
NVL000094,member,2009-2010,42,lower,nv,Democratic,,,,,
NVL000094,committee member,2009-2010,,lower,nv,,NVC000010,"Corrections, Parole and Probation",,,
NVL000094,committee member,2009-2010,,lower,nv,,NVC000006,Judiciary,,,
NVL000108,member,2011-2012,"Clark County, No. 9",upper,nv,Republican,,,,,2012-02-17 00:00:00
NVL000108,committee member,2011-2012,,upper,nv,,NVC000020,"Commerce, Labor and Energy",,,
NVL000108,committee member,2011-2012,,upper,nv,,NVC000023,Revenue,,,
NVL000108,committee member,2011-2012,,upper,nv,,NVC000025,Transportation,,,
NVL000003,member,2009-2010,"Clark County, No. 7",upper,nv,Democratic,,,,,
NVL000003,committee member,2009-2010,,upper,nv,,NVC000018,Government Affairs,,,
NVL000003,committee member,2009-2010,,upper,nv,,NVC000019,Judiciary,,,
NVL000003,committee member,2009-2010,,upper,nv,,NVC000009,Taxation,,,
NVL000006,member,2009-2010,"Clark County, No. 10",upper,nv,Democratic,,,,,
NVL000006,committee member,2009-2010,,upper,nv,,NVC000003,Finance,,,
NVL000006,committee member,2009-2010,,upper,nv,,NVC000008,Natural Resources,,,
NVL000006,committee member,2009-2010,,upper,nv,,NVC000009,Taxation,,,
NVL000007,member,2009-2010,"Clark County, No. 6",upper,nv,Democratic,,,,,
NVL000007,committee member,2009-2010,,upper,nv,,NVC000017,Commerce and Labor,,,
NVL000007,committee member,2009-2010,,upper,nv,,NVC000019,Judiciary,,,
NVL000007,committee member,2009-2010,,upper,nv,,NVC000008,Natural Resources,,,
NVL000007,member,2011-2012,"Clark County, No. 6",upper,nv,Democratic,,,,,
NVL000007,committee member,2011-2012,,upper,nv,,NVC000020,"Commerce, Labor and Energy",,,
NVL000007,committee member,2011-2012,,upper,nv,,NVC000022,Health and Human Services,,,
NVL000007,committee member,2011-2012,,upper,nv,,NVC000019,Judiciary,,,
NVL000009,member,2009-2010,"Clark County, No. 4",upper,nv,Democratic,,,,,
NVL000009,member,2011-2012,"Clark County, No. 4",upper,nv,Democratic,,,,,
NVL000009,committee member,2011-2012,,upper,nv,,NVC000003,Finance,,,
NVL000009,committee member,2011-2012,,upper,nv,,NVC000007,Legislative Operations and Elections,,,
NVL000009,committee member,2011-2012,,upper,nv,,NVC000023,Revenue,,,
NVL000010,member,2009-2010,"Clark County, No. 1",upper,nv,Democratic,,,,,
NVL000010,member,2011-2012,"Clark County, No. 1",upper,nv,Democratic,,,,,
NVL000010,committee member,2011-2012,,upper,nv,,NVC000018,Government Affairs,,,
NVL000010,committee member,2011-2012,,upper,nv,,NVC000008,Natural Resources,,,
NVL000010,committee member,2011-2012,,upper,nv,,NVC000024,Select Committee on Economic Growth and Employment,,,
NVL000010,committee member,2011-2012,,upper,nv,,NVC000025,Transportation,,,
NVL000011,member,2009-2010,"Washoe County, No. 1",upper,nv,Democratic,,,,,
NVL000011,committee member,2009-2010,,upper,nv,,NVC000003,Finance,,,
NVL000011,committee member,2009-2010,,upper,nv,,NVC000007,Legislative Operations and Elections,,,
NVL000011,committee member,2009-2010,,upper,nv,,NVC000008,Natural Resources,,,
NVL000012,member,2009-2010,Central Nevada Senatorial District,upper,nv,Republican,,,,,
NVL000012,committee member,2009-2010,,upper,nv,,NVC000018,Government Affairs,,,
NVL000012,committee member,2009-2010,,upper,nv,,NVC000019,Judiciary,,,
NVL000012,committee member,2009-2010,,upper,nv,,NVC000009,Taxation,,,
NVL000012,member,2011-2012,Central Nevada Senatorial District,upper,nv,Republican,,,,,
NVL000012,committee member,2011-2012,,upper,nv,,NVC000019,Judiciary,,,
NVL000012,committee member,2011-2012,,upper,nv,,NVC000023,Revenue,,,
NVL000012,committee member,2011-2012,,upper,nv,,NVC000025,Transportation,,,
NVL000013,member,2009-2010,"Clark County, No. 9",upper,nv,Republican,,,,,
NVL000013,committee member,2009-2010,,upper,nv,,NVC000002,"Energy, Infrastructure and Transportation",,,
NVL000013,committee member,2009-2010,,upper,nv,,NVC000005,Health and Education,,,
NVL000013,committee member,2009-2010,,upper,nv,,NVC000008,Natural Resources,,,
NVL000016,member,2009-2010,Rural Nevada Senatorial District,upper,nv,Republican,,,,,
NVL000016,member,2011-2012,Rural Nevada Senatorial District,upper,nv,Republican,,,,,
NVL000016,committee member,2011-2012,,upper,nv,,NVC000003,Finance,,,
NVL000016,committee member,2011-2012,,upper,nv,,NVC000008,Natural Resources,,,
NVL000016,committee member,2011-2012,,upper,nv,,NVC000025,Transportation,,,
NVL000017,member,2009-2010,"Clark County, No. 11",upper,nv,Democratic,,,,,
NVL000017,member,2011-2012,"Clark County, No. 11",upper,nv,Democratic,,,,,
NVL000017,committee member,2011-2012,,upper,nv,,NVC000020,"Commerce, Labor and Energy",,,
NVL000017,committee member,2011-2012,,upper,nv,,NVC000018,Government Affairs,,,
NVL000017,committee member,2011-2012,,upper,nv,,NVC000023,Revenue,,,
NVL000017,committee member,2011-2012,,upper,nv,,NVC000025,Transportation,,,
NVL000020,member,2009-2010,"Clark County, No. 3",upper,nv,Democratic,,,,,
NVL000020,committee member,2009-2010,,upper,nv,,NVC000005,Health and Education,,,
NVL000020,committee member,2009-2010,,upper,nv,,NVC000019,Judiciary,,,
NVL000020,committee member,2009-2010,,upper,nv,,NVC000007,Legislative Operations and Elections,,,
NVL000020,member,2011-2012,"Clark County, No. 3",upper,nv,Democratic,,,,,
NVL000020,committee member,2011-2012,,upper,nv,,NVC000021,Education,,,
NVL000020,committee member,2011-2012,,upper,nv,,NVC000022,Health and Human Services,,,
NVL000020,committee member,2011-2012,,upper,nv,,NVC000019,Judiciary,,,
NVL000020,committee member,2011-2012,,upper,nv,,NVC000024,Select Committee on Economic Growth and Employment,,,
NVL000065,member,2009-2010,31,lower,nv,Democratic,,,,,
NVL000065,committee member,2009-2010,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000065,committee member,2009-2010,,lower,nv,,NVC000010,"Corrections, Parole and Probation",,,
NVL000065,committee member,2009-2010,,lower,nv,,NVC000006,Judiciary,,,
NVL000066,member,2009-2010,7,lower,nv,Democratic,,,,,
NVL000066,committee member,2009-2010,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000066,committee member,2009-2010,,lower,nv,,NVC000016,Ways and Means,,,
NVL000070,member,2009-2010,33,lower,nv,Republican,,,,,
NVL000070,committee member,2009-2010,,lower,nv,,NVC000010,"Corrections, Parole and Probation",,,
NVL000070,committee member,2009-2010,,lower,nv,,NVC000006,Judiciary,,,
NVL000070,committee member,2009-2010,,lower,nv,,NVC000014,Agendas and Min,,,
NVL000070,committee member,2009-2010,,lower,nv,,NVC000015,Transportation,,,
NVL000071,member,2009-2010,13,lower,nv,Republican,,,,,
NVL000071,committee member,2009-2010,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000071,committee member,2009-2010,,lower,nv,,NVC000004,Government Affairs,,,
NVL000071,committee member,2009-2010,,lower,nv,,NVC000015,Transportation,,,
NVL000072,member,2009-2010,19,lower,nv,Democratic,,,,,
NVL000072,committee member,2009-2010,,lower,nv,,NVC000004,Government Affairs,,,
NVL000072,committee member,2009-2010,,lower,nv,,NVC000014,Agendas and Min,,,
NVL000072,committee member,2009-2010,,lower,nv,,NVC000015,Transportation,,,
NVL000073,member,2009-2010,26,lower,nv,Republican,,,,,
NVL000073,committee member,2009-2010,,lower,nv,,NVC000010,"Corrections, Parole and Probation",,,
NVL000073,committee member,2009-2010,,lower,nv,,NVC000012,"Elections, Procedures, Ethics, and Constitutional Amendments",,,
NVL000073,committee member,2009-2010,,lower,nv,,NVC000013,Health and Human Services,,,
NVL000073,committee member,2009-2010,,lower,nv,,NVC000006,Judiciary,,,
NVL000074,member,2009-2010,37,lower,nv,Democratic,,,,,
NVL000074,committee member,2009-2010,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000074,committee member,2009-2010,,lower,nv,,NVC000012,"Elections, Procedures, Ethics, and Constitutional Amendments",,,
NVL000074,committee member,2009-2010,,lower,nv,,NVC000016,Ways and Means,,,
NVL000074,member,2011-2012,37,lower,nv,Democratic,,,,,
NVL000074,committee member,2011-2012,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000074,committee member,2011-2012,,lower,nv,,NVC000026,Legislative Operations and Elections,,,
NVL000074,committee member,2011-2012,,lower,nv,,NVC000016,Ways and Means,,,
NVL000077,member,2009-2010,25,lower,nv,Republican,,,,,
NVL000077,committee member,2009-2010,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000077,committee member,2009-2010,,lower,nv,,NVC000012,"Elections, Procedures, Ethics, and Constitutional Amendments",,,
NVL000077,committee member,2009-2010,,lower,nv,,NVC000016,Ways and Means,,,
NVL000078,member,2009-2010,36,lower,nv,Republican,,,,,
NVL000078,committee member,2009-2010,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000078,committee member,2009-2010,,lower,nv,,NVC000004,Government Affairs,,,
NVL000078,member,2011-2012,36,lower,nv,Republican,,,,,
NVL000078,committee member,2011-2012,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000078,committee member,2011-2012,,lower,nv,,NVC000004,Government Affairs,,,
NVL000078,committee member,2011-2012,,lower,nv,,NVC000027,"Natural Resources, Agriculture, and Mining",,,
NVL000078,committee member,2011-2012,,lower,nv,,NVC000028,Taxation,,,
NVL000089,member,2009-2010,27,lower,nv,Democratic,,,,,
NVL000089,committee member,2009-2010,,lower,nv,,NVC000013,Health and Human Services,,,
NVL000089,committee member,2009-2010,,lower,nv,,NVC000016,Ways and Means,,,
NVL000089,member,2011-2012,"Washoe County, No. 1",upper,nv,Democratic,,,,,
NVL000089,committee member,2011-2012,,upper,nv,,NVC000021,Education,,,
NVL000089,committee member,2011-2012,,upper,nv,,NVC000003,Finance,,,
NVL000089,committee member,2011-2012,,upper,nv,,NVC000022,Health and Human Services,,,
NVL000089,committee member,2011-2012,,upper,nv,,NVC000023,Revenue,,,
NVL000091,member,2009-2010,29,lower,nv,Democratic,,,,,
NVL000091,committee member,2009-2010,,lower,nv,,NVC000011,Education,,,
NVL000091,committee member,2009-2010,,lower,nv,,NVC000004,Government Affairs,,,
NVL000091,committee member,2009-2010,,lower,nv,,NVC000013,Health and Human Services,,,
NVL000091,member,2011-2012,29,lower,nv,Democratic,,,,,
NVL000091,committee member,2011-2012,,lower,nv,,NVC000011,Education,,,
NVL000091,committee member,2011-2012,,lower,nv,,NVC000013,Health and Human Services,,,
NVL000091,committee member,2011-2012,,lower,nv,,NVC000016,Ways and Means,,,
NVL000092,member,2009-2010,4,lower,nv,Republican,,,,,
NVL000092,committee member,2009-2010,,lower,nv,,NVC000010,"Corrections, Parole and Probation",,,
NVL000092,committee member,2009-2010,,lower,nv,,NVC000011,Education,,,
NVL000092,committee member,2009-2010,,lower,nv,,NVC000006,Judiciary,,,
NVL000092,member,2011-2012,4,lower,nv,Republican,,,,,
NVL000092,committee member,2011-2012,,lower,nv,,NVC000011,Education,,,
NVL000092,committee member,2011-2012,,lower,nv,,NVC000006,Judiciary,,,
NVL000092,committee member,2011-2012,,lower,nv,,NVC000026,Legislative Operations and Elections,,,
NVL000096,member,2009-2010,16,lower,nv,Democratic,,,,,
NVL000096,committee member,2009-2010,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000096,committee member,2009-2010,,lower,nv,,NVC000016,Ways and Means,,,
NVL000096,member,2011-2012,16,lower,nv,Democratic,,,,,
NVL000096,committee member,2011-2012,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000096,committee member,2011-2012,,lower,nv,,NVC000026,Legislative Operations and Elections,,,
NVL000096,committee member,2011-2012,,lower,nv,,NVC000016,Ways and Means,,,
NVL000098,member,2009-2010,40,lower,nv,Democratic,,,,,
NVL000098,committee member,2009-2010,,lower,nv,,NVC000010,"Corrections, Parole and Probation",,,
NVL000098,committee member,2009-2010,,lower,nv,,NVC000011,Education,,,
NVL000098,committee member,2009-2010,,lower,nv,,NVC000013,Health and Human Services,,,
NVL000098,committee member,2009-2010,,lower,nv,,NVC000006,Judiciary,,,
NVL000132,member,2011-2012,39,lower,nv,Republican,,,,,
NVL000132,committee member,2011-2012,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000132,committee member,2011-2012,,lower,nv,,NVC000006,Judiciary,,,
NVL000132,committee member,2011-2012,,lower,nv,,NVC000027,"Natural Resources, Agriculture, and Mining",,,
NVL000135,member,2011-2012,21,lower,nv,Republican,,,,,
NVL000135,committee member,2011-2012,,lower,nv,,NVC000013,Health and Human Services,,,
NVL000135,committee member,2011-2012,,lower,nv,,NVC000006,Judiciary,,,
NVL000135,committee member,2011-2012,,lower,nv,,NVC000015,Transportation,,,
NVL000257,member,2013-2014,30,lower,nv,Democratic,,,,,
NVL000257,committee member,2013-2014,,lower,nv,,NVC000013,Health and Human Services,,,
NVL000257,committee member,2013-2014,,lower,nv,,NVC000015,Transportation,,,
NVL000257,committee member,2013-2014,,lower,nv,,NVC000016,Ways and Means,,,
NVL000126,member,2013-2014,8,lower,nv,Democratic,,,,,
NVL000126,committee member,2013-2014,,lower,nv,,NVC000001,Commerce and Labor,,,
NVL000126,committee member,2013-2014,,lower,nv,,NVC000006,Judiciary,,,
NVL000126,committee member,2013-2014,,lower,nv,,NVC000031,Select Committee on the Assembly,,,
NVL000126,committee member,2013-2014,,lower,nv,,NVC000028,Taxation,,,
NVL000126,member,2011-2012,8,lower,nv,Democratic,,,,,
NVL000126,committee member,2011-2012,,lower,nv,,NVC000013,Health and Human Services,,,
NVL000126,committee member,2011-2012,,lower,nv,,NVC000006,Judiciary,,,
